titulo;palestrante;assunto
'Análise de redes sociais usando NetworkX e GoogleAppEngine';'Érico Andrei';'Desenvolvimento Web, Google App Engine'
'Aplicações comerciais em Python';'Ricardo Francis Reghin';'Desenvolvimento de aplicativos comerciais desktop e cliente-servidor'
'Apontador Web Services (para programdores Python, claro!)';'Carlos Duarte do Nascimento (Chester)';'Desenvolvimento/Serviços'
'Aprendendo a programar direito com Coding Dojo';'Álvaro Fernandes de Abreu Justen';'Desenvolvimento ágil'
'Arduino: brincando de eletrônica com Python e hardware livre';'Álvaro Fernandes de Abreu Justen';'Hardware e sistemas embarcados'
'Brasil.Gov: Python Powered EGov';'Danilo Freitas - Érico Andrei - Pedro Werneck';'Desenvolvimento Web'
'CartolaFC 2010: Uma aplicação Python rápida e escalável';'Marcel Nicolay Santos';'escalabilidade e performance'
'Code Review simplificado através do ReviewBoard';'Eduardo Felipe Castegnaro';'Boas práticas'
'Como Fazer Jogos com Python (ou Apresentando a PyGame)';'Diego Moreira Guimarães e Bernardo Fontes';'Desenvolvimento de jogos utilizando a biblioteca PyGame'
'Como me tornei um empreendedor pythonista';'Osvaldo Santana Neto';'As lições e o aprendizado de um pythonista praticante sob uma ótica pessoal'
'Como não programar em Python ou Python Tricks que você ainda não conhecia';'Henrique Pereira';'python, obfuscado, minimalista, errado'
'Como utilizar a DAL (Camada de abstração de acesso a dados) do web2py em outros projetos ou frameworks Python';'Bruno Cezar Rocha';'Acesso a banco de dados em projetos Python'
'Criando um ambiente de desenvolvimento Pythônico';'Gustavo Guimarães Rezende';'Ecossistema de desenvolvimento python e o ambiente do programador ágil pythônico.'
'Desenvolvendo macros de OpenOffice.org em Python';'Luis Henrique Fagundes';'Integração de OpenOffice.org e Python, Gestão financeira'
'Desenvolvendo soluções comerciais utilizando Open Source';'Fabrício Nicoletti e Ricardo Lenzi';'Integração de ferramentas Open Source para o desenvolvimento de soluções comerciais utilizando a linguagem de programação Python.'
'Desenvolvendo Web Services com App Engine';'Rodolpho Eckhardt';'Google App Engine'
'Desenvolvimento Python com MeeGo';'Lauro Moura Maranhão Neto';'Utilizando frameworks MeeGo Touch e QtMobility com Python'
'Dinf & C3SL infra estrutura';'Luis Carlos Erpen de Bona';'Infra estrutura do DINF na UFPR'
'Django - The Good Parts';'Henrique Pereira';'django, desenvolvimento web, melhores práticas, python'
'Django Design Patterns (Boas práticas no desenvolvimento com Django)';'Andrews Patrick Rocha Medina e Enrico Batista da Luz';'django'
'Django e CMS customizáveis';'Anderson Santos Silva';'Informações sobre o desenvolvimento de CMS customizável usando Django'
